lat,lon
-34.5466354,-58.4930291
-34.5661854,-58.5077492
-34.5845749,-58.5163739
-34.5457559,-58.4910666
-34.546138,-58.4923444
-34.5468532,-58.4951174
-34.5346314,-58.4645533
-34.5915898,-58.3820534
-34.622156,-58.3809829
-34.561409,-58.4178549
-34.6221495,-58.3807816
-34.5508722,-58.4290878
-34.5508474,-58.4322278
-34.5488874,-58.4680995
-34.5900119,-58.4089192
-34.5951481,-58.3785123
-34.5383064,-58.4653184
-34.6047619,-58.4036232
-34.6040716,-58.4103269
-34.5895299,-58.4681918
-34.5886182,-58.4671697
-34.5877275,-58.4662285
-34.5868524,-58.4652771
-34.585962,-58.4643592
-34.5850857,-58.4634524
-34.5964215,-58.4638938
-34.5970841,-58.4640624
-34.6014265,-58.4654308
-34.6017209,-58.4655161
-34.6013782,-58.465681
-34.5728735,-58.4230381
-34.5730877,-58.4224285
-34.5736344,-58.4212427
-34.5741978,-58.420022
-34.5746785,-58.4188199
-34.5737258,-58.4235462
-34.5739613,-58.4229205
-34.5749814,-58.4205712
-34.5754967,-58.4193724
-34.5754878,-58.4223415
-34.5763123,-58.4200192
-34.5891474,-58.3998253
-34.5902112,-58.4003782
-34.5933499,-58.4018425
-34.5944591,-58.4023598
-34.5958013,-58.4028863
-34.5965511,-58.4031283
-34.5998854,-58.4041753
-34.6018407,-58.4048182
-34.6045664,-58.4054766
-34.6055758,-58.4057203
-34.6088638,-58.4060374
-34.6112563,-58.4058559
-34.6124257,-58.4055847
-34.6134134,-58.4052805
-34.6146212,-58.404916
-34.6170293,-58.4041088
-34.6188438,-58.4035056
-34.6198199,-58.403201
-34.6211374,-58.4027939
-34.6224239,-58.4024883
-34.6237646,-58.4021818
-34.6239248,-58.4034929
-34.6259078,-58.4069174
-34.6257635,-58.4056018
-34.6254496,-58.4031499
-34.6251838,-58.4018523
-34.6248434,-58.400262
-34.6246111,-58.3991048
-34.6244614,-58.3974974
-34.6242957,-58.3959634
-34.593334,-58.4458204
-34.5940538,-58.4450458
-34.5954785,-58.443505
-34.5963419,-58.4425776
-34.59986,-58.4387215
-34.6005682,-58.4381045
-34.6014014,-58.4372762
-34.6022176,-58.4364697
-34.6030423,-58.4356744
-34.6035694,-58.4351654
-34.6044325,-58.4347445
-34.5993139,-58.3691361
-34.5995118,-58.370682
-34.6004971,-58.3853581
-34.6005886,-58.3867589
-34.6006431,-58.3881034
-34.6007433,-58.3914394
-34.6008055,-58.3927613
-34.5963409,-58.423155
-34.5964206,-58.4215183
-34.5965626,-58.4187305
-34.5966464,-58.4169987
-34.5967964,-58.4142259
-34.5968308,-58.412995
-34.5969546,-58.4102508
-34.5952826,-58.4230198
-34.5956161,-58.4138302
-34.5956052,-58.4127069
-34.5981492,-58.4202189
-34.5995911,-58.4149407
-34.599941,-58.4137298
-34.6002418,-58.412293
-34.6021031,-58.4023126
-34.6021762,-58.3970281
-34.6073365,-58.3992593
-34.6084805,-58.3992275
-34.6097017,-58.3991222
-34.6119847,-58.3989671
-34.6130975,-58.3988703
-34.6143041,-58.3987827
-34.6148371,-58.3978744
-34.6151597,-58.399233
-34.6155129,-58.4012743
-34.6160885,-58.405824
-34.616367,-58.4069276
-34.6166148,-58.4094579
-34.6166171,-58.4110067
-34.6166344,-58.4127355
-34.6166122,-58.4142362
-34.6182353,-58.4140785
-34.6171442,-58.4141946
-34.6142892,-58.4145134
-34.6130534,-58.4147522
-34.6094727,-58.4159487
-34.6085475,-58.4160549
-34.6069615,-58.4162334
-34.6056613,-58.4160309
-34.6048535,-58.4158536
-34.603806,-58.4156616
-34.601768,-58.4153097
-34.6007706,-58.415148
-34.5994347,-58.4149116
-34.5979075,-58.4146168
-34.5936835,-58.4127416
-34.5928737,-58.4121102
-34.592194,-58.4116255
-34.5935826,-58.4072355
-34.5947432,-58.4051114
-34.5970718,-58.3988828
-34.5972292,-58.3975411
-34.599772,-58.3987483
-34.5944508,-58.3981133
-34.592896,-58.3974643
-34.5921072,-58.3971249
-34.5901747,-58.3957898
-34.5893133,-58.3948965
-34.5851258,-58.4620531
-34.5845894,-58.4648929
-34.5826318,-58.4708762
-34.5822426,-58.4720761
-34.5815863,-58.4740418
-34.5826924,-58.4695431
-34.5827132,-58.4684944
-34.5827433,-58.467354
-34.5827788,-58.4662304
-34.5828276,-58.4648124
-34.582915,-58.4619593
-34.5829372,-58.4605455
-34.5830026,-58.4588358
-34.5833843,-58.4574979
-34.5838619,-58.4561754
-34.5867768,-58.4549797
-34.5840113,-58.4619847
-34.5818287,-58.4619053
-34.580717,-58.4618532
-34.5796299,-58.4618122
-34.5782656,-58.461777
-34.5794135,-58.4695275
-34.5794308,-58.4683476
-34.5794631,-58.467226
-34.5794881,-58.4660906
-34.5795487,-58.4646736
-34.579582,-58.4632573
-34.5796456,-58.4605318
-34.5797354,-58.4588939
-34.5798233,-58.4575938
-34.5801147,-58.4565759
-34.5803791,-58.4555742
-34.5808277,-58.454276
-34.5812857,-58.4529506
-34.5816961,-58.4517241
-34.5824032,-58.4497869
-34.5832871,-58.4476283
-34.5837888,-58.4464357
-34.5853937,-58.4434512
-34.5880901,-58.4393903
-34.5895979,-58.4370981
-34.5902143,-58.4361525
-34.5908092,-58.4352822
-34.5914389,-58.4343336
-34.5920594,-58.4334553
-34.592768,-58.4323729
-34.5935308,-58.4312446
-34.5942848,-58.4300811
-34.5948457,-58.4291798
-34.5955112,-58.4281105
-34.5970939,-58.424851
-34.5977212,-58.4217533
-34.5977569,-58.4201616
-34.5977728,-58.4189487
-34.5978345,-58.417271
-34.5978556,-58.4159885
-34.5979568,-58.4132586
-34.5980173,-58.4119275
-34.5981066,-58.4103061
-34.5980978,-58.4094111
-34.5980826,-58.4081756
-34.59806,-58.4066509
-34.5909863,-58.4024487
-34.5920777,-58.4027785
-34.5929294,-58.4030473
-34.5952301,-58.4041864
-34.5960607,-58.4045887
-34.598056,-58.4055917
-34.5996459,-58.4063226
-34.6007069,-58.4066561
-34.6042625,-58.4078072
-34.607895,-58.4091117
-34.5861149,-58.4531021
-34.5871223,-58.4522018
-34.5891039,-58.4503121
-34.5901979,-58.4491605
-34.5916879,-58.4475853
-34.5785691,-58.4572408
-34.5807676,-58.4579556
-34.5750917,-58.4632431
-34.5768219,-58.4615915
-34.5782922,-58.4602087
-34.5831594,-58.4557723
-34.5842198,-58.4548044
-34.5851721,-58.4539521
-34.5833288,-58.4527579
-34.5805018,-58.4509414
-34.579861,-58.4505617
-34.5789225,-58.4499799
-34.576026,-58.448349
-34.5724289,-58.4463361
-34.5708444,-58.4453742
-34.5687563,-58.4436984
-34.5680008,-58.442955
-34.5665034,-58.441516
-34.565351,-58.4403659
-34.5645009,-58.4395857
-34.5636488,-58.4388234
-34.5818538,-58.4584037
-34.5783857,-58.4632268
-34.5817822,-58.4633512
-34.5806399,-58.4647044
-34.5807515,-58.4591597
-34.580678,-58.4632949
-34.5807526,-58.4605394
-34.58185,-58.4605402
-34.578702,-58.4646184
-34.5817345,-58.464753
-34.5839248,-58.4648647
-34.5839631,-58.4634432
-34.58387,-58.4662757
-34.584046,-58.4605302
-34.5840698,-58.4591964
-34.5843404,-58.4580941
-34.5821361,-58.4567064
-34.5792319,-58.454846
-34.581018,-58.4570332
-34.5816701,-58.4548266
-34.5820792,-58.4534743
-34.5824631,-58.4522178
-34.5829242,-58.4512092
-34.5833428,-58.4502682
-34.5838216,-58.4492111
-34.5843156,-58.44808
-34.5829412,-58.454021
-34.5808626,-58.4499833
-34.5838277,-58.4517519
-34.5858879,-58.4529665
-34.5874236,-58.4538887
-34.5815618,-58.4720928
-34.5815728,-58.4708736
-34.5815845,-58.4695368
